Date,Open,High,Low,Close,Volume,Current Ratio,EPS,ROA,MACD,RSI,SMA1,SMA2,SMA3,Sentiment
2020-01-02,3970.0,4000.0,3900.0,3910.0,52094000,0.7145691078227826,188.518087431694,8.436788926840297,0.0,100.0,3910.0,3910.0,3910.0,0.0
2020-01-03,3960.0,3980.0,3930.0,3980.0,70032900,0.7144550426041563,188.577131147541,8.436755485302216,5.584045584045725,100.0,3980.0,3980.0,3980.0,0.0
2020-01-06,3930.0,3970.0,3930.0,3960.0,42908900,0.7141128469482774,188.754262295082,8.436655160687975,8.299932630417516,77.77777777777777,3960.0,3960.0,3960.0,0.0
2020-01-07,3930.0,3970.0,3920.0,3940.0,51837600,0.713998781729651,188.81330601092895,8.436621719149894,8.73773663962129,63.63636363636363,3940.0,3940.0,3940.0,0.0
2020-01-08,3920.0,3950.0,3900.0,3900.0,52402600,0.7138847165110247,188.87234972677595,8.436588277611813,5.790286941537488,46.666666666666664,3900.0,3900.0,3900.0,0.0
2020-01-09,3920.0,3970.0,3920.0,3960.0,37580300,0.7137706512923985,188.93139344262295,8.436554836073732,8.2013700904281,61.904761904761905,3960.0,3960.0,3960.0,0.08846305
2020-01-10,3980.0,3990.0,3950.0,3980.0,48099000,0.7136565860737721,188.99043715846994,8.436521394535653,11.592374037958962,65.21739130434783,3947.1428571428573,3980.0,3980.0,0.0
2020-01-13,4000.0,4030.0,3990.0,4030.0,61913800,0.7133143904178931,189.16756830601093,8.43642106992141,18.105640674481037,71.42857142857143,3964.285714285714,4030.0,4030.0,0.16912864
2020-01-14,3980.0,4000.0,3940.0,3950.0,95058600,0.7132003251992668,189.22661202185793,8.43638762838333,16.620528886291595,55.55555555555556,3960.0,3950.0,3950.0,0.0
2020-01-15,3960.0,3960.0,3870.0,3880.0,147583300,0.7130862599806405,189.28565573770493,8.436354186845248,9.683526443849132,46.51162790697674,3948.5714285714284,3880.0,3880.0,0.01657592
2020-01-16,3890.0,3890.0,3830.0,3850.0,118903100,0.7129721947620142,189.34469945355193,8.436320745307167,1.7450370494129857,43.47826086956522,3935.714285714286,3850.0,3850.0,0.0
2020-01-17,3860.0,3870.0,3800.0,3810.0,119904100,0.7128581295433879,189.40374316939892,8.436287303769088,-7.685346801491505,40.0,3922.8571428571427,3810.0,3810.0,0.0
2020-01-20,3820.0,3840.0,3800.0,3810.0,73599200,0.7125159338875089,189.58087431693988,8.436186979154845,-14.986241877824341,40.0,3901.4285714285716,3810.0,3810.0,0.0
2020-01-21,3810.0,3900.0,3810.0,3890.0,78014400,0.7124018686688827,189.63991803278688,8.436153537616764,-14.153766602839369,48.275862068965516,3888.5714285714284,3917.8571428571427,3890.0,0.0
2020-01-22,3890.0,3890.0,3850.0,3860.0,45839800,0.7122878034502563,189.69896174863388,8.436120096078684,-15.73340829220615,45.90163934426229,3864.285714285714,3914.285714285714,3860.0,0.0
2020-01-23,3860.0,3880.0,3830.0,3880.0,41077400,0.71217373823163,189.75800546448087,8.436086654540604,-15.196279606756434,41.07142857142856,3854.285714285714,3907.1428571428573,3880.0,0.0
2020-01-24,3880.0,3930.0,3860.0,3920.0,58524000,0.7120596730130037,189.81704918032787,8.436053213002523,-11.411392122637608,46.55172413793104,3860.0,3904.285714285714,3920.0,0.0
2020-01-27,3920.0,3920.0,3830.0,3840.0,33081800,0.7117174773571247,189.99418032786886,8.43595288838828,-14.697746462741634,42.1875,3858.5714285714284,3897.1428571428573,3840.0,0.1700134
2020-01-28,3810.0,3840.0,3800.0,3830.0,56210000,0.7116034121384984,190.05322404371586,8.4359194468502,-17.902750615669902,44.26229508196721,3861.4285714285716,3892.1428571428573,3830.0,0.0
2020-01-29,3840.0,3900.0,3840.0,3900.0,51929800,0.7114893469198721,190.11226775956285,8.43588600531212,-14.625728221346435,45.16129032258065,3874.285714285714,3887.8571428571427,3900.0,0.10763298
2020-01-30,3910.0,3910.0,3850.0,3860.0,60391600,0.7113752817012458,190.17131147540985,8.43585256377404,-15.08246875888426,40.625,3870.0,3879.285714285714,3860.0,0.0
2020-01-31,3890.0,3890.0,3780.0,3800.0,120447900,0.7112612164826194,190.23035519125685,8.435819122235959,-20.05475870984492,32.30769230769231,3861.4285714285716,3862.8571428571427,3800.0,0.0
2020-02-03,3800.0,3820.0,3730.0,3740.0,68360600,0.7109190208267405,190.4074863387978,8.435718797621716,-28.50820800236579,33.33333333333333,3841.4285714285716,3847.8571428571427,3740.0,0.0
2020-02-04,3810.0,3810.0,3730.0,3760.0,77259600,0.7108049556081142,190.4665300546448,8.435685356083635,-33.21095935118001,39.655172413793096,3818.5714285714284,3839.285714285714,3760.0,0.14996733
2020-02-05,3760.0,3780.0,3720.0,3770.0,68150800,0.7106908903894879,190.5255737704918,8.435651914545556,-35.719257879724864,42.857142857142854,3808.5714285714284,3833.5714285714284,3770.0,0.05293949
2020-02-06,3800.0,3800.0,3750.0,3760.0,56261500,0.7105768251708615,190.5846174863388,8.435618473007475,-38.075112762433946,45.283018867924525,3798.5714285714284,3830.0,3760.0,0.0
2020-02-07,3780.0,3820.0,3760.0,3790.0,53578900,0.7104627599522352,190.6436612021858,8.435585031469394,-37.09380120031301,48.21428571428571,3782.8571428571427,3828.5714285714284,3790.0,0.0
2020-02-10,3800.0,3850.0,3780.0,3810.0,86588500,0.7101205642963563,190.8207923497268,8.435484706855151,-34.30680437870387,41.99999999999999,3775.714285714286,3822.8571428571427,3810.0,0.0
2020-02-11,3810.0,3830.0,3780.0,3790.0,50248200,0.71000649907773,190.87983606557378,8.435451265317072,-33.32774072213124,42.857142857142854,3774.285714285714,3817.8571428571427,3790.0,0.0214521074
2020-02-12,3800.0,3850.0,3780.0,3820.0,73840300,0.7098924338591036,190.93887978142078,8.435417823778991,-29.78770235048978,43.99999999999999,3785.714285714286,3813.5714285714284,3866.0,0.08939353
2020-02-13,3820.0,3830.0,3710.0,3730.0,66699800,0.7097783686404773,190.99792349726778,8.43538438224091,-33.85419419777327,32.72727272727272,3781.4285714285716,3800.0,3860.0,0.0
2020-02-14,3680.0,3730.0,3640.0,3640.0,108793300,0.709664303421851,191.05696721311475,8.435350940702829,-43.833876480428444,32.14285714285715,3762.8571428571427,3785.714285714286,3848.6666666666665,0.0
2020-02-17,3630.0,3660.0,3590.0,3610.0,94887800,0.709322107765972,191.23409836065574,8.435250616088586,-53.54634691293086,31.034482758620683,3741.4285714285716,3770.0,3837.0,0.0
2020-02-18,3590.0,3660.0,3590.0,3620.0,94382900,0.7092080425473457,191.29314207650273,8.435217174550507,-59.74789671716644,23.07692307692308,3717.1428571428573,3750.0,3826.3333333333335,0.12649074
2020-02-19,3620.0,3640.0,3590.0,3620.0,63717800,0.7090939773287194,191.35218579234973,8.435183733012426,-63.925773096927514,25.0,3690.0,3732.8571428571427,3817.0,0.0
