Date,Open,High,Low,Close,Volume,return_log,Current Ratio,EPS,ROA,MACD,RSI,SMA1,SMA2,SMA3,Sentiment
2020-01-02,6925.0,6925.0,6775.0,6875.0,15008600,,1.2924483761305825,535.4418032786886,6.15991190741766,0.0,100.0,6875.0,6875.0,6875.0,0.0
2020-01-03,6925.0,6950.0,6825.0,6950.0,19068800,0.010850016024065212,1.293137260780576,535.0677049180329,6.156119232028701,5.982905982906232,100.0,6950.0,6950.0,6950.0,0.0
2020-01-06,6900.0,6900.0,6750.0,6750.0,22261900,-0.029199154692262752,1.2952039147305563,533.9454098360657,6.14474120586182,-5.352229283852466,27.272727272727266,6750.0,6750.0,6750.0,0.0
2020-01-07,6800.0,6825.0,6675.0,6775.0,27963000,0.003696861881326896,1.2958927993805496,533.5713114754099,6.14094853047286,-12.177737207566679,33.33333333333333,6775.0,6775.0,6775.0,0.0
2020-01-08,6700.0,6825.0,6700.0,6775.0,15150400,0.0,1.296581684030543,533.1972131147542,6.1371558550839,-17.386579743722905,33.33333333333333,6775.0,6775.0,6775.0,0.0
2020-01-09,6800.0,6875.0,6750.0,6875.0,19691200,0.014652276786870644,1.2972705686805366,532.8231147540985,6.13336317969494,-13.292236092634994,50.0,6875.0,6875.0,6875.0,0.0
2020-01-10,6900.0,6925.0,6825.0,6825.0,17687600,-0.007299302481612813,1.2979594533305299,532.4490163934427,6.12957050430598,-13.921542507393497,44.44444444444444,6832.142857142857,6825.0,6825.0,0.0
2020-01-13,6850.0,6925.0,6825.0,6925.0,29585200,0.01454571100237878,1.3000261072805102,531.3267213114755,6.1181924781390995,-6.278730809470289,54.54545454545455,6839.285714285715,6925.0,6925.0,0.0
2020-01-14,6975.0,7175.0,6925.0,7175.0,41214400,0.03546470957228287,1.3007149919305037,530.9526229508198,6.11439980275014,19.723799504394265,68.75,6871.428571428572,7175.0,7175.0,0.0
2020-01-15,7150.0,7250.0,7025.0,7200.0,38535100,0.0034782643763247023,1.3014038765804972,530.578524590164,6.110607127361179,41.86568166477991,69.69696969696969,6935.714285714285,7200.0,7200.0,0.0
2020-01-16,7125.0,7200.0,7075.0,7125.0,38504400,-0.010471299867294448,1.3020927612304904,530.2044262295083,6.10681445197222,52.753302369757876,63.888888888888886,6985.714285714285,7125.0,7125.0,0.0
2020-01-17,7075.0,7150.0,7000.0,7075.0,26714800,-0.0070422826254130655,1.302781645880484,529.8303278688525,6.103021776583259,56.69370830818934,60.526315789473685,7028.571428571428,7075.0,7075.0,0.0
